feature_name,feature_index,mean_abs_shap,rank
sttl,1,0.15948553501220294,1
ct_state_ttl,3,0.06963497482441822,2
dttl,4,0.03174632856437392,3
sbytes,0,0.026620334584014336,4
dload,11,0.02375389981674758,5
ct_srv_dst,25,0.02323152231933281,6
smean,8,0.022661279507925205,7
sload,6,0.022623323861874784,8
ct_dst_src_ltm,26,0.01825993333197607,9
swin,31,0.018020490144245123,10
proto_tcp,35,0.01593035076822962,11
rate,5,0.015368486707495979,12
ct_srv_src,28,0.015263732834945037,13
ct_dst_sport_ltm,22,0.014399143929074341,14
state_INT,21,0.014156521367579143,15
dbytes,2,0.009943474097288598,16
dmean,9,0.009401168697859123,17
service_-,43,0.00927242311198782,18
sloss,23,0.009054577133710644,19
synack,15,0.007550681067108153,20
