feature_name,feature_index,mean_abs_shap,rank
dttl,4,2.4180532763179765,1
proto_tcp,35,1.9411001558623846,2
dload,11,1.4028064055462923,3
dwin,33,0.6090449774010874,4
service_dns,39,0.5782152632618665,5
ct_srv_dst,25,0.5475707579762811,6
swin,31,0.539050518027869,7
ct_state_ttl,3,0.5310799909575377,8
state_FIN,36,0.4514366007536673,9
state_INT,21,0.41965123578504515,10
proto_udp,42,0.4038634209843247,11
ct_src_dport_ltm,29,0.39651679715700117,12
service_-,43,0.27882126654555317,13
dmean,9,0.27679119860793805,14
sttl,1,0.22155462060572986,15
dpkts,12,0.14406425839173018,16
state_CON,30,0.11962587379007171,17
synack,15,0.11893504873418223,18
sloss,23,0.10004401571815415,19
proto_unas,38,0.09676536693741794,20
